17 - 20 yrs old,5 hrs - above,Always,Strongly Agree,"Facebook, Twitter",Shared/post by prominent people,5
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, BBC news, CNN, Facebook, Twitter",There are people who are not validating the information.,3
17 - 20 yrs old,5 hrs - above,Sometimes,Agree,"Prominent people, Facebook",Shared/post by prominent people,5
17 - 20 yrs old,1 - 2 hrs,Sometimes,Agree,"GMA news, BBC news, CNN, Facebook, Random share/post",Troll,3
21 - above,5 hrs - above,Always,Disagree,"GMA news, BBC news, Facebook, Random share/post",Shared/post by prominent people,3
21 - above,3 - 5 hrs,Always,Neutral,"GMA news, Facebook, Twitter, Tiktok",There are people who are not validating the information.,3
17 - 20 yrs old,5 hrs - above,Often,Neutral,"GMA news, CNN, Twitter, Random share/post",Troll,4
17 - 20 yrs old,5 hrs - above,Sometimes,Neutral,"GMA news, Facebook, Tiktok",Troll,4
17 - 20 yrs old,3 - 5 hrs,Often,Neutral,"GMA news, Prominent people, Random share/post",There are people who are not validating the information.,4
17 - 20 yrs old,5 hrs - above,Always,Agree,Facebook,Shared/post by prominent people,2
17 - 20 yrs old,5 hrs - above,Sometimes,Neutral,"Facebook, Tiktok",Shared/post by prominent people,4
17 - 20 yrs old,5 hrs - above,Often,Neutral,"Facebook, Twitter, Random share/post",There are people who are not validating the information.,5
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, CNN, Facebook, Twitter",Shared/post by prominent people,3
21 - above,3 - 5 hrs,Often,Neutral,"GMA news, Prominent people, Tiktok",There are people who are not validating the information.,5
17 - 20 yrs old,3 - 5 hrs,Always,Neutral,"GMA news, Facebook",There are people who are not validating the information.,5
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, CNN, Facebook, Twitter, Random share/post",There are people who are not validating the information.,5
21 - above,5 hrs - above,Always,Neutral,Random share/post,There are people who are not validating the information.,3
21 - above,5 hrs - above,Often,Neutral,Random share/post,There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Neutral,"GMA news, Facebook, Twitter, Random share/post",Shared/post by prominent people,4
17 - 20 yrs old,3 - 5 hrs,Often,Agree,GMA news,Troll,3
21 - above,5 hrs - above,Always,Agree,"CNN, Facebook, Twitter, Random share/post",Shared/post by prominent people,5
21 - above,3 - 5 hrs,Always,Neutral,"GMA news, Facebook, Random share/post",There are people who are not validating the information.,5
17 - 20 yrs old,3 - 5 hrs,Always,Neutral,"GMA news, Twitter, Random share/post",Shared/post by prominent people,4
11 - 16 yrs old,5 hrs - above,Often,Neutral,"GMA news, Facebook, Tiktok",Shared/post by prominent people,3
21 - above,5 hrs - above,Always,Neutral,"GMA news, Prominent people, Facebook, Twitter, Tiktok, Random share/post, Personal Experience",Shared/post by prominent people,3
21 - above,5 hrs - above,Always,Neutral,"Facebook, ABS CBN, Inquirer, Philstar ",Troll,5
17 - 20 yrs old,5 hrs - above,Always,Neutral,Facebook,There are people who are not validating the information.,4
21 - above,5 hrs - above,Always,Disagree,"GMA news, Facebook, Twitter",There are people who are not validating the information.,3
21 - above,3 - 5 hrs,Always,Neutral,"GMA news, Facebook, Random share/post",Bots,4
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, BBC news, CNN, Prominent people, Facebook, Tiktok, Random share/post",There are people who are not validating the information.,4
21 - above,5 hrs - above,Always,Neutral,"GMA news, BBC news, CNN, Twitter",Troll,5
21 - above,5 hrs - above,Often,Neutral,"CNN, Facebook, Twitter, Tiktok",There are people who are not validating the information.,5
11 - 16 yrs old,5 hrs - above,Always,Strongly Agree,Facebook,Troll,2
21 - above,1 - 2 hrs,Often,Agree,"GMA news, Facebook, Tiktok",There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Agree,"GMA news, Random share/post",Shared/post by prominent people,3
11 - 16 yrs old,5 hrs - above,Always,Disagree,"GMA news, Facebook, Tiktok, Random share/post",There are people who are not validating the information.,4
21 - above,5 hrs - above,Often,Neutral,"Facebook, Tiktok",There are people who are not validating the information.,1
21 - above,5 hrs - above,Always,Neutral,"GMA news, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,5
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, CNN, Facebook, Twitter",There are people who are not validating the information.,4
17 - 20 yrs old,5 hrs - above,Often,Neutral,"GMA news, Facebook",Troll,4
17 - 20 yrs old,3 - 5 hrs,Always,Agree,"GMA news, CNN",Troll,4
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, Facebook, Random share/post",Shared/post by prominent people,3
17 - 20 yrs old,1 - 2 hrs,Sometimes,Neutral,"GMA news, CNN, Facebook",Shared/post by prominent people,3
17 - 20 yrs old,5 hrs - above,Always,Neutral,Facebook,Shared/post by prominent people,3
17 - 20 yrs old,5 hrs - above,Sometimes,Neutral,GMA news,There are people who are not validating the information.,3
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, CNN, Facebook",Shared/post by prominent people,4
17 - 20 yrs old,5 hrs - above,Sometimes,Strongly Agree,"Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,5
21 - above,5 hrs - above,Always,Strongly Agree,"GMA news, BBC news, Prominent people, Facebook, Twitter, Random share/post",There are people who are not validating the information.,5
17 - 20 yrs old,3 - 5 hrs,Often,Strongly Agree,"GMA news, CNN, Prominent people",Shared/post by prominent people,5
17 - 20 yrs old,5 hrs - above,Always,Agree,GMA news,There are people who are not validating the information.,5
21 - above,5 hrs - above,Sometimes,Neutral,"GMA news, CNN, Facebook",There are people who are not validating the information.,3
17 - 20 yrs old,5 hrs - above,Always,Strongly Agree,"Facebook, Twitter, Random share/post",Shared/post by prominent people,4
17 - 20 yrs old,5 hrs - above,Often,Neutral,"GMA news, Facebook, Twitter",There are people who are not validating the information.,3
21 - above,5 hrs - above,Always,Agree,"Prominent people, Facebook, Tiktok, Random share/post",Shared/post by prominent people,5
21 - above,1 - 2 hrs,Always,Neutral,"GMA news, Prominent people, Facebook",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Strongly Agree,"GMA news, Facebook",There are people who are not validating the information.,5
21 - above,3 - 5 hrs,Often,Neutral,"GMA news, Prominent people",There are people who are not validating the information.,4
21 - above,5 hrs - above,Always,Strongly Agree,"Facebook, Tiktok",There are people who are not validating the information.,5
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,3
17 - 20 yrs old,3 - 5 hrs,Always,Strongly Agree,Facebook,There are people who are not validating the information.,5
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, Prominent people, Facebook, Random share/post",Shared/post by prominent people,5
21 - above,5 hrs - above,Often,Agree,"GMA news, Prominent people, Facebook",Shared/post by prominent people,3
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,4
21 - above,5 hrs - above,Always,Strongly Agree,"Facebook, Tiktok",Shared/post by prominent people,4
11 - 16 yrs old,5 hrs - above,Always,Neutral,"Facebook, Twitter, Tiktok",Shared/post by prominent people,5
17 - 20 yrs old,5 hrs - above,Often,Agree,"Facebook, Twitter, Tiktok",There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Agree,"Facebook, Tiktok, Random share/post",There are people who are not validating the information.,5
21 - above,1 - 2 hrs,Always,Strongly Agree,"GMA news, Prominent people, Facebook",There are people who are not validating the information.,3
17 - 20 yrs old,1 - 2 hrs,Always,Agree,"GMA news, Facebook",Shared/post by prominent people,3
21 - above,5 hrs - above,Always,Strongly Agree,"GMA news, Prominent people, Facebook, Random share/post",There are people who are not validating the information.,4
21 - above,5 hrs - above,Always,Agree,"CNN, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,2
21 - above,3 - 5 hrs,Often,Neutral,"GMA news, Facebook, Twitter",There are people who are not validating the information.,3
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, CNN, Facebook, Twitter, Tiktok, Random share/post",Troll,4
21 - above,5 hrs - above,Always,Neutral,"GMA news, Prominent people, Facebook, Random share/post",There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Neutral,"GMA news, Facebook",There are people who are not validating the information.,3
21 - above,1 - 2 hrs,Always,Neutral,"GMA news, Prominent people, Random share/post",There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Strongly Agree,"GMA news, BBC news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,5
21 - above,5 hrs - above,Always,Agree,"Prominent people, Facebook, Twitter",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Strongly Agree,"GMA news, Prominent people, Facebook, Random share/post",Troll,4
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, Facebook, Twitter",There are people who are not validating the information.,4
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, Facebook",Shared/post by prominent people,3
21 - above,1 - 2 hrs,Often,Neutral,"Facebook, Twitter, Tiktok",There are people who are not validating the information.,3
17 - 20 yrs old,1 - 2 hrs,Sometimes,Neutral,"Facebook, Random share/post",Shared/post by prominent people,5
17 - 20 yrs old,5 hrs - above,Sometimes,Neutral,"GMA news, Facebook, Random share/post",There are people who are not validating the information.,4
17 - 20 yrs old,5 hrs - above,Often,Agree,"GMA news, CNN",Shared/post by prominent people,4
17 - 20 yrs old,1 - 2 hrs,Often,Neutral,"GMA news, Facebook, Random share/post",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Neutral,"GMA news, CNN, Facebook, Twitter, Random share/post",Shared/post by prominent people,4
17 - 20 yrs old,5 hrs - above,Always,Neutral,"GMA news, Facebook, Twitter",There are people who are not validating the information.,1
21 - above,3 - 5 hrs,Often,Neutral,"GMA news, BBC news, CNN, Facebook, Twitter, Random share/post",There are people who are not validating the information.,1
21 - above,5 hrs - above,Always,Strongly Agree,"GMA news, BBC news, Prominent people, Facebook, Twitter, Tiktok",Shared/post by prominent people,3
21 - above,1 - 2 hrs,Often,Neutral,"GMA news, CNN, Prominent people",There are people who are not validating the information.,3
17 - 20 yrs old,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Neutral,"GMA news, Facebook, Tiktok",Shared/post by prominent people,4
21 - above,5 hrs - above,Always,Neutral,"GMA news, Facebook",There are people who are not validating the information.,2
17 - 20 yrs old,3 - 5 hrs,Always,Neutral,"GMA news, Prominent people, Facebook",There are people who are not validating the information.,2
21 - above,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Tiktok, Random share/post",Shared/post by prominent people,3
21 - above,3 - 5 hrs,Often,Agree,"GMA news, Prominent people, Facebook",There are people who are not validating the information.,5
21 - above,1 - 2 hrs,Always,Agree,"GMA news, Facebook",There are people who are not validating the information.,5
21 - above,5 hrs - above,Always,Agree,"GMA news, Prominent people, Facebook, Twitter, Tiktok, Random share/post",There are people who are not validating the information.,4
21 - above,3 - 5 hrs,Always,Neutral,"GMA news, Facebook, Tiktok, Random share/post",There are people who are not validating the information.,5
